Date,Value,"Statut","Qualification","Méthode","Continuité"
2020-01-01T00:00:00.000Z,"13000","16",20,10,0
2020-01-02T00:00:00.000Z,"12500","16",20,10,0
2020-01-03T00:00:00.000Z,"11200","16",20,10,0
2020-01-04T00:00:00.000Z,"11300","16",20,10,0
2020-01-05T00:00:00.000Z,"10200","16",20,10,0
2020-01-06T00:00:00.000Z,"9420","16",20,10,0
2020-01-07T00:00:00.000Z,"7920","16",20,10,0
2020-01-08T00:00:00.000Z,"8600","16",20,10,0
2020-01-09T00:00:00.000Z,"7000","16",20,10,0
2020-01-10T00:00:00.000Z,"7930","16",20,10,0
2020-01-11T00:00:00.000Z,"6630","16",20,10,0
2020-01-12T00:00:00.000Z,"5790","16",20,10,0
2020-01-13T00:00:00.000Z,"6340","16",20,10,0
2020-01-14T00:00:00.000Z,"5760","16",20,10,0
2020-01-15T00:00:00.000Z,"5330","16",20,10,0
2020-01-16T00:00:00.000Z,"4260","16",20,10,0
2020-01-17T00:00:00.000Z,"5890","16",20,10,0
2020-01-18T00:00:00.000Z,"5960","16",20,10,0
2020-01-19T00:00:00.000Z,"4780","16",20,10,0
2020-01-20T00:00:00.000Z,"5040","16",20,10,0
2020-01-21T00:00:00.000Z,"4150","16",20,10,0
2020-01-22T00:00:00.000Z,"3950","16",20,10,0
2020-01-23T00:00:00.000Z,"4060","16",20,10,0
2020-01-24T00:00:00.000Z,"4000","16",20,10,0
2020-01-25T00:00:00.000Z,"3820","16",20,10,0
2020-01-26T00:00:00.000Z,"3310","16",20,10,0
2020-01-27T00:00:00.000Z,"5220","16",20,10,0
2020-01-28T00:00:00.000Z,"3850","16",20,10,0
2020-01-29T00:00:00.000Z,"4180","16",20,10,0
2020-01-30T00:00:00.000Z,"3990","16",20,10,0
2020-01-31T00:00:00.000Z,"4480","16",20,10,0
2020-02-01T00:00:00.000Z,"4320","16",20,10,0
2020-02-02T00:00:00.000Z,"3550","16",20,10,0
2020-02-03T00:00:00.000Z,"3530","16",20,10,0
2020-02-04T00:00:00.000Z,"3680","16",20,10,0
2020-02-05T00:00:00.000Z,"4870","16",20,10,0
2020-02-06T00:00:00.000Z,"3320","16",20,10,0
2020-02-07T00:00:00.000Z,"3800","16",20,10,0
2020-02-08T00:00:00.000Z,"3730","16",20,10,0
2020-02-09T00:00:00.000Z,"2920","16",20,10,0
2020-02-10T00:00:00.000Z,"3300","16",20,10,0
2020-02-11T00:00:00.000Z,"3730","16",20,10,0
2020-02-12T00:00:00.000Z,"3430","16",20,10,0
2020-02-13T00:00:00.000Z,"3450","16",20,10,0
2020-02-14T00:00:00.000Z,"2840","16",20,10,0
2020-02-15T00:00:00.000Z,"4330","16",20,10,0
2020-02-16T00:00:00.000Z,"2630","16",20,10,0
2020-02-17T00:00:00.000Z,"3240","16",20,10,0
2020-02-18T00:00:00.000Z,"3010","16",20,10,0
2020-02-19T00:00:00.000Z,"3230","16",20,10,0
2020-02-20T00:00:00.000Z,"3940","16",20,10,0
2020-02-21T00:00:00.000Z,"2280","16",20,10,0
2020-02-22T00:00:00.000Z,"3130","16",20,10,0
2020-02-23T00:00:00.000Z,"2410","16",20,10,0
2020-02-24T00:00:00.000Z,"2820","16",20,10,0
2020-02-25T00:00:00.000Z,"2910","16",20,10,0
2020-02-26T00:00:00.000Z,"2300","16",20,10,0
2020-02-27T00:00:00.000Z,"3050","16",20,10,0
2020-02-28T00:00:00.000Z,"3230","16",20,10,0
2020-02-29T00:00:00.000Z,"3320","16",20,10,0
2020-03-01T00:00:00.000Z,"4020","16",20,10,0
2020-03-02T00:00:00.000Z,"4450","16",20,10,0
2020-03-03T00:00:00.000Z,"8030","16",20,10,0
2020-03-04T00:00:00.000Z,"5430","16",20,10,0
